,time,condition,temp
0,14:30,Partly Cloudy,31
0,15:30,Partly Cloudy,31
0,16:30,Partly Cloudy,30
1,17:30,Partly Cloudy,30
2,18:30,Partly Cloudy,29
3,21:30,Mostly Cloudy,28
4,22:30,Mostly Cloudy,27
5,23:30,Mostly Cloudy,27
6,01:30,Mostly Cloudy,26
7,02:30,Mostly Cloudy,26
8,03:30,Mostly Cloudy,26
9,04:30,Mostly Cloudy,25
10,05:30,Partly Cloudy,25
11,06:30,Partly Cloudy,25
12,07:30,Partly Cloudy,25
13,08:30,Partly Cloudy,26
14,09:30,Partly Cloudy,27
15,10:30,Partly Cloudy,29
16,11:30,Partly Cloudy,29
17,12:30,Partly Cloudy,30
18,13:30,Partly Cloudy,31
19,14:30,Partly Cloudy,31
20,15:30,Partly Cloudy,31
21,16:30,Partly Cloudy,31
22,17:30,Partly Cloudy,30
23,18:30,Partly Cloudy,29
24,19:30,Partly Cloudy,29
25,20:30,Partly Cloudy,28
26,21:30,Partly Cloudy,28
27,22:30,Partly Cloudy,27
28,23:30,Mostly Cloudy,27
29,01:30,Partly Cloudy,26
30,02:30,Partly Cloudy,26
31,03:30,Partly Cloudy,26
32,04:30,Partly Cloudy,25
33,05:30,Partly Cloudy,25
34,06:30,Partly Cloudy,25
35,07:30,Partly Cloudy,25
36,08:30,Partly Cloudy,26
37,09:30,Partly Cloudy,28
38,10:30,Partly Cloudy,29
39,11:30,Partly Cloudy,30
40,12:30,Partly Cloudy,30
41,13:30,Partly Cloudy,30
